,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
449,0.8393740157480315,400.0,402.6784701,404.9542899,406.8489439,408.3784089,409.5553329,410.3893016,410.8870321,411.0525031
450,0.2515944881889764,400.0,395.9486933,392.4734586,389.5605435,387.1963966,385.3696764,384.0713994,383.29506,383.0367197
451,0.4640433070866142,400.0,398.2756811,396.7997737,395.5655333,394.5656764,393.7942269,393.2465258,392.9192399,392.8103671
452,0.373251968503937,400.0,397.267211,394.926165,392.9664707,391.377641,390.1509974,389.2797285,388.7589356,388.5856666
453,0.10421653543307087,400.0,394.4001383,389.5885875,385.5495246,382.267354,379.7288442,377.9233972,376.8432731,376.483759
454,0.6693503937007874,400.0,400.6361808,401.1769671,401.6281241,401.9929152,402.2739666,402.4732944,402.5923247,402.6319073
455,0.6776023622047244,400.0,400.7334391,401.3570611,401.8772729,402.2978669,402.6218922,402.8516883,402.9889092,403.0345404
456,0.4624330708661417,400.0,398.2576096,396.7662176,395.5190054,394.5086253,393.7290479,393.1755718,392.8448332,392.7348116
457,0.6894921259842519,400.0,400.8739026,401.617122,402.2370104,402.738137,403.1241719,403.3979279,403.5613926,403.6157498
458,0.2989763779527559,400.0,396.4578151,393.4209312,390.8767114,388.8126395,387.2182864,386.0854205,385.4080968,385.1827228
459,0.15581102362204724,400.0,394.9363075,390.5879451,386.9395891,383.9761675,381.6849538,380.0557943,379.0812955,378.7569648
460,0.8179291338582677,400.0,402.4163802,404.4700628,406.1802456,407.561083,408.6238037,409.3769314,409.8264462,409.9758931
461,0.15684251968503937,400.0,394.9470917,390.6080401,386.967534,384.0105138,381.7242649,380.0986437,379.1262646,378.8026399
462,0.6649803149606299,400.0,400.5847506,401.081725,401.4963532,401.8316221,402.0899364,402.2731426,402.3825473,402.4189293
463,0.8669370078740157,400.0,403.0172712,405.5800149,407.7127928,409.4340216,410.7582419,411.696451,412.2563433,412.4424717
464,0.568771653543307,400.0,399.4656807,399.0079331,398.625597,398.3161624,398.0775898,397.9083018,397.8071765,397.7735425
465,0.2897322834645669,400.0,396.3580491,393.2353069,390.6189002,388.4960956,386.8562735,385.6910465,384.9943537,384.7625313
466,0.6246889763779527,400.0,400.1130364,400.2079027,400.2870883,400.351142,400.4005076,400.4355267,400.4564418,400.4633975
467,0.3008779527559055,400.0,396.4783641,393.4591621,390.929807,388.8778283,387.2928366,386.166633,385.4932968,385.2692502
468,0.666984251968504,400.0,400.6083278,401.1253878,401.556763,401.905567,402.1743058,402.3649035,402.4787214,402.5165708
469,0.9479370078740158,400.0,404.0256674,407.44085,410.2800923,412.5696395,414.3300494,415.5767753,416.3205809,416.5678165
470,0.35826771653543305,400.0,397.102803,394.6205208,392.5422579,390.8570764,389.5559123,388.6316434,388.0791433,387.8953208
471,0.874976377952756,400.0,403.1165028,405.7632345,407.9656837,409.7430003,411.1102912,412.0789755,412.657039,412.8492057
472,0.9991811023622047,400.0,404.673579,408.635231,411.9265815,414.5793556,416.618279,418.0618653,418.9229736,419.2091763
473,0.5613346456692914,400.0,399.3802161,398.8494448,398.406077,398.0472231,397.770534,397.5741917,397.4569023,397.4178918
474,0.5831496062992126,400.0,399.6313296,399.3150734,399.0509631,398.8372401,398.6724774,398.5555726,398.485742,398.4625171
475,0.5663779527559055,400.0,399.4381566,398.9568932,398.5549043,398.2295569,397.9787114,397.8007126,397.6943829,397.6590178
476,0.8051692913385827,400.0,402.2610582,404.1830227,405.7837743,407.0764143,408.0713485,408.7764839,409.1973717,409.337304
477,0.4362244094488189,400.0,397.9644213,396.2217143,394.7639055,393.5826413,392.6710497,392.0237623,391.6369319,391.5082456
478,0.31393700787401574,400.0,396.6197282,393.7221447,391.2950147,389.3261901,387.8055623,386.7251618,386.0792377,385.8643168
479,0.8755748031496063,400.0,403.1238968,405.7768856,407.984525,409.7660193,411.1365183,412.1074723,412.6868891,412.8795055
480,0.38843700787401575,400.0,397.434405,395.236933,393.3977308,391.9067901,390.7558405,389.9383981,389.4498036,389.2872511
481,0.17115748031496064,400.0,395.0970162,390.8873846,387.3559753,384.4879107,382.2706464,380.6941856,379.7512552,379.4374386
482,0.5491220472440945,400.0,399.2401921,398.5897463,398.046334,397.6064565,397.2672662,397.0265573,396.8827588,396.8349303
483,0.3324488188976378,400.0,396.8208507,394.0962292,391.8144327,389.9637964,388.5346307,387.5193068,386.9123257,386.7103684
484,0.7897992125984252,400.0,402.0745773,403.8383281,405.3075895,406.4942245,407.4076693,408.0551025,408.4415682,408.5700594
485,0.21086614173228346,400.0,395.5154864,391.666871,388.4396257,385.8194619,383.7943761,382.3548308,381.4939035,381.2073964
486,0.3594606299212598,400.0,397.1158708,394.6448167,392.5759811,390.8984614,389.6032237,388.6831701,388.1331918,387.9502087
487,0.6724488188976377,400.0,400.6726771,401.24455,401.7216235,402.1073587,402.4045398,402.6153038,402.7411619,402.7830149
488,0.8515236220472441,400.0,402.8275422,405.2296403,407.2291158,408.8430075,410.084788,410.9646587,411.4897634,411.6643315
489,0.4911181102362205,400.0,398.5805525,397.3657747,396.3502176,395.5277168,394.8932276,394.442825,394.1737049,394.0841851
490,0.16876771653543307,400.0,395.0719532,390.8406894,387.2910469,384.4081167,382.1793251,380.59465,379.6467993,379.331344
491,0.13311417322834646,400.0,394.6996606,390.1469273,386.3262284,383.2222373,380.8219852,379.1151074,378.0940468,377.7542073
492,0.38108661417322837,400.0,397.3534005,395.0863747,393.1888057,391.6504503,390.4628387,389.6193267,389.1151381,388.9473955
493,0.800244094488189,400.0,402.2012291,404.072442,405.63102,406.8896637,407.858466,408.5450985,408.9549487,409.0912125
494,0.3701299212598425,400.0,397.2329087,394.8623995,392.8779737,391.2690487,390.0268642,389.1445431,388.6171384,388.4416688
495,0.12321259842519686,400.0,394.5968079,389.9552178,386.0595642,382.894421,380.446724,378.706024,377.6646979,377.3181081
496,0.4567047244094488,400.0,398.1933759,396.6469393,395.3536113,394.3058184,393.4973422,392.9233325,392.5803171,392.4662105
497,0.7145275590551181,400.0,401.1709454,402.1669382,402.997402,403.6686015,404.1855564,404.552107,404.7709629,404.8437365
498,0.2904606299212598,400.0,396.365902,393.2499187,390.6391951,388.5210147,386.8847728,385.722094,385.0269264,384.7956118
499,0.3370196850393701,400.0,396.8706437,394.188831,391.9429965,390.1215995,388.7150575,387.7158289,387.1184788,386.9197275
